Sample	Rep_tec	Log_CFU_ml_total	CFU_ml_total
C_1SurT1_1	C_1SurT1_1	7.794	6.23E+07
C_1SurT1_2	C_1SurT1_2	7.206	1.61E+07
C_1SurT1_3	C_1SurT1_3	7.416	2.61E+07
C_2SurT1_1	C_2SurT1_1	7.21	1.62E+07
C_2SurT1_2	C_2SurT1_2	7.484	3.05E+07
C_2SurT1_3	C_2SurT1_3	7.012	1.03E+07
C_3SurT1_1	C_3SurT1_1	7.007	1.02E+07
C_3SurT1_2	C_3SurT1_2	7.505	3.20E+07
C_3SurT1_3	C_3SurT1_3	7.347	2.22E+07
WT_1SurT1_1	WT_1SurT1_1	9.132	1.36E+09
WT_1SurT1_2	WT_1SurT1_2	8.889	7.74E+08
WT_1SurT1_3	WT_1SurT1_3	8.828	6.73E+08
WT_2SurT1_1	WT_2SurT1_1	8.822	6.64E+08
WT_2SurT1_2	WT_2SurT1_2	8.983	9.61E+08
WT_2SurT1_3	WT_2SurT1_3	8.699	5.00E+08
WT_3SurT1_1	WT_3SurT1_1	8.767	5.85E+08
WT_3SurT1_2	WT_3SurT1_2	8.797	6.26E+08
WT_3SurT1_3	WT_3SurT1_3	8.923	8.37E+08
dTDA_1SurT1_1	dTDA_1SurT1_1	8.914	8.20E+08
dTDA_1SurT1_2	dTDA_1SurT1_2	8.551	3.56E+08
dTDA_1SurT1_3	dTDA_1SurT1_3	8.865	7.33E+08
dTDA_2SurT1_1	dTDA_2SurT1_1	8.544	3.50E+08
dTDA_2SurT1_2	dTDA_2SurT1_2	8.872	7.45E+08
dTDA_2SurT1_3	dTDA_2SurT1_3	8.655	4.52E+08
dTDA_3SurT1_1	dTDA_3SurT1_1	7.692	4.92E+07
dTDA_3SurT1_2	dTDA_3SurT1_2	7.87	7.42E+07
dTDA_3SurT1_3	dTDA_3SurT1_3	7.688	4.88E+07
C_1WatT1_1	C_1WatT1_1	6.742	5.53E+06
C_1WatT1_2	C_1WatT1_2	6.934	8.59E+06
C_1WatT1_3	C_1WatT1_3	7.068	1.17E+07
C_2WatT1_1	C_2WatT1_1	7.023	1.06E+07
C_2WatT1_2	C_2WatT1_2	6.605	4.02E+06
C_2WatT1_3	C_2WatT1_3	6.824	6.66E+06
C_3WatT1_1	C_3WatT1_1	6.826	6.71E+06
C_3WatT1_2	C_3WatT1_2	6.797	6.26E+06
C_3WatT1_3	C_3WatT1_3	6.69	4.89E+06
WT_1WatT1_1	WT_1WatT1_1	7.325	2.11E+07
WT_1WatT1_2	WT_1WatT1_2	7.849	7.06E+07
WT_1WatT1_3	WT_1WatT1_3	7.691	4.91E+07
WT_2WatT1_1	WT_2WatT1_1	7.491	3.10E+07
WT_2WatT1_2	WT_2WatT1_2	7.444	2.78E+07
WT_2WatT1_3	WT_2WatT1_3	7.564	3.67E+07
WT_3WatT1_1	WT_3WatT1_1	7.541	3.48E+07
WT_3WatT1_2	WT_3WatT1_2	7.705	5.07E+07
WT_3WatT1_3	WT_3WatT1_3	7.659	4.56E+07
dTDA_1WatT1_1	dTDA_1WatT1_1	7.723	5.29E+07
dTDA_1WatT1_2	dTDA_1WatT1_2	7.738	5.47E+07
dTDA_1WatT1_3	dTDA_1WatT1_3	7.733	5.41E+07
dTDA_2WatT1_1	dTDA_2WatT1_1	7.512	3.25E+07
dTDA_2WatT1_2	dTDA_2WatT1_2	7.515	3.28E+07
dTDA_2WatT1_3	dTDA_2WatT1_3	7.357	2.27E+07
dTDA_3WatT1_1	dTDA_3WatT1_1	5.798	6.28E+05
dTDA_3WatT1_2	dTDA_3WatT1_2	7.258	1.81E+07
