qPCR_reps	CFU/cm2	Rep_tec	Treatment	Env	Day	Log
C_1SurT1_1_1	2846.849415	C_1SurT1_1	Control	Biofilm	1	3.454364496
C_1SurT1_1_2	3510.174577	C_1SurT1_1	Control	Biofilm	1	3.545328716
C_1SurT1_1_3	2245.286227	C_1SurT1_1	Control	Biofilm	1	3.351271712
C_1SurT1_2_1	1487.220665	C_1SurT1_2	Control	Biofilm	1	3.172375411
C_1SurT1_2_2	3161.160933	C_1SurT1_2	Control	Biofilm	1	3.499846606
C_1SurT1_2_3	4179.576068	C_1SurT1_2	Control	Biofilm	1	3.621132234
C_1SurT1_3_1	5011.501812	C_1SurT1_3	Control	Biofilm	1	3.699967892
C_1SurT1_3_2	4150.496893	C_1SurT1_3	Control	Biofilm	1	3.618100093
C_1SurT1_3_3	3228.070628	C_1SurT1_3	Control	Biofilm	1	3.508943028
C_2SurT1_1_1	1529.339741	C_2SurT1_1	Control	Biofilm	1	3.184503974
C_2SurT1_1_2	2261.017132	C_2SurT1_1	Control	Biofilm	1	3.354303853
C_2SurT1_1_3	2308.874222	C_2SurT1_1	Control	Biofilm	1	3.363400275
C_2SurT1_2_1	1833.747912	C_2SurT1_2	Control	Biofilm	1	3.263339632
C_2SurT1_2_2	2636.397847	C_2SurT1_2	Control	Biofilm	1	3.421010948
C_2SurT1_2_3	1734.133415	C_2SurT1_2	Control	Biofilm	1	3.239082507
C_2SurT1_3_1	2581.752023	C_2SurT1_3	Control	Biofilm	1	3.411914526
C_2SurT1_3_2	2198.747153	C_2SurT1_3	Control	Biofilm	1	3.34217529
C_2SurT1_3_3	1605.938682	C_2SurT1_3	Control	Biofilm	1	3.205728959
C_3SurT1_1_1	4208.858977	C_3SurT1_1	Control	Biofilm	1	3.624164374
C_3SurT1_1_2	5262.509303	C_3SurT1_1	Control	Biofilm	1	3.721192877
C_3SurT1_1_3	5262.509303	C_3SurT1_1	Control	Biofilm	1	3.721192877
C_3SurT1_2_1	2618.05525	C_3SurT1_2	Control	Biofilm	1	3.417978807
C_3SurT1_2_2	2108.542922	C_3SurT1_2	Control	Biofilm	1	3.323982446
C_3SurT1_2_3	3205.6115	C_3SurT1_2	Control	Biofilm	1	3.505910887
C_3SurT1_3_1	2711.062382	C_3SurT1_3	Control	Biofilm	1	3.433139511
C_3SurT1_3_2	1540.054588	C_3SurT1_3	Control	Biofilm	1	3.187536115
C_3SurT1_3_3	2475.834908	C_3SurT1_3	Control	Biofilm	1	3.393721682
WT_1SurT1_1_1	412162003.5	WT_1SurT1_1	WT	Biofilm	1	8.615067952
WT_1SurT1_1_2	348575272.7	WT_1SurT1_1	WT	Biofilm	1	8.542296576
WT_1SurT1_1_3	371181089.3	WT_1SurT1_1	WT	Biofilm	1	8.569585842
WT_1SurT1_2_1	226101713.2	WT_1SurT1_2	WT	Biofilm	1	8.354303853
WT_1SurT1_2_2	207930484	WT_1SurT1_2	WT	Biofilm	1	8.317918164
WT_1SurT1_2_3	242451714.7	WT_1SurT1_2	WT	Biofilm	1	8.38462526
WT_1SurT1_3_1	131158632.2	WT_1SurT1_3	WT	Biofilm	1	8.117796879
WT_1SurT1_3_2	139664536.8	WT_1SurT1_3	WT	Biofilm	1	8.145086145
WT_1SurT1_3_3	139664536.8	WT_1SurT1_3	WT	Biofilm	1	8.145086145
WT_2SurT1_1_1	196635098	WT_2SurT1_1	WT	Biofilm	1	8.293661039
